Tag,Site,Species,Ht,Diam,B1,B2,B3,B4,AvgBark
123,SBC0,Pcare,87,2.2,3,4,4,4,3.8
178,SBC0,Emini,164,1.3,1.5,2,2,2,1.9
191,SBC0,Bobov,224.6,3.6,7,5.5,6,6,6.1
103,SBC0,Aexce,445,5.2,6,3.5,3,6,4.6
100,SBC0,Etetr,141,1.7,2,2.5,2.5,3,2.5
206,SBC0,Tferd,76,0.8,1.5,1,1,1,1.1
215,SBC0,Pcare,78,1.1,2,2,1.8,1.5,1.8
192,SBC0,Tferd,109,1.7,2,2.5,2,2,2.1
59,SBC0,Tferd,71,1,1.5,1,0.8,NA,1.1
361,SBC0,Pcare,122,2.3,3.5,3.5,4,3,3.5
135,SBC0,Alate,245.7,1.8,2,2,2,2,2
120,SBC0,Tferd,109.5,1.8,2,3,2.5,2.5,2.5
199,SBC0,Aexce,409.4,3,3.5,3,3,3,3.1
1273,SBC0,Bmega,314.8,4,3.5,3,3,4,3.4
140,SBC0,Tferd,182.5,2.6,3,3,2.8,1.5,2.6
104,SBC0,Aexce,434,2.2,4,4,3.5,4,3.9
1263,SBC0,Bmega,351.4,5,4,4.5,3.5,4,4
90,SBC0,Cneso,604.8,4.8,9,6.5,9,6,7.6
58B,SBC0,Etetr,167,2,2,2.5,2,2.5,2.3
79,SBC0,Tferd,146.5,1.5,2,2,2.5,2.5,2.3
1264,SBC0,Bmega,417.3,4.3,2.5,2.5,2,3,2.5
52,SBC0,Pcare,185.1,2.9,5.5,5,5,5.5,5.3
83,SBC0,Etetr,471.1,3.1,4,4.5,5,5.5,4.8
1017,SBC0,Pcare,59.5,1.2,2,2.5,2.5,2.5,2.4
80,SBC0,Aexce,478.6,4.9,6.5,6.5,3.5,4,5.1
62,SBC0,Etetr,334.1,1.9,2.5,3,2.5,3,2.8
457B,SBC0,Bobov,53,1.5,2.5,2,1.8,2,2.1
116,SBC0,Etetr,188.7,1.6,2.5,2.5,2.5,2,2.4
44,SBC0,Aexce,347.8,4,8,2.5,7,4,5.4
119,SBC0,Emini,631,4.7,3,2.5,3,2.8,2.8
146,SBC0,Echlo,114,2.3,2.2,2.8,4,4.2,3.3
166,SBC0,Cneso,586.6,4.3,6.5,8,9.2,6,7.4
1048,SBC0,Bobov,110,1.3,3.5,3,3,3.5,3.3
41,SBC0,Pcare,316.5,4,6,8.5,10,7,7.9
1271,SBC0,Bmega,343.9,4.3,2,2,2.5,3,2.4
1290,SBC0,Bmega,287.9,3.1,2.5,1.5,3,3,2.5
1274,SBC0,Aexce,154.3,1.4,1,1.5,2,2,1.6
73,SBC0,Tferd,179.4,3.1,5.5,5,4.5,4.5,4.9
176,SBC0,Echlo,228.5,3.2,3,3.5,3.2,5,3.7
189,SBC0,Cneso,445.5,3.6,4.5,6.5,6.5,5.5,5.8
153,SBC0,Aexce,461.7,4,4,5,3,4,4
95,SBC0,Tferd,331.4,3.7,7,5.5,7,6.5,6.5
37,SBC0,Bmega,206,3,6.5,6.5,5.5,5,5.9
101,SBC0,Etetr,544.4,4.1,3.8,4,4,3.5,3.8
187,SBC0,Emini,561.2,4.2,4,3,3,4,3.5
87,SBC0,Echlo,274.5,4.4,4.5,5.5,4,4,4.5
174,SBC0,Bobov,158.8,2.6,5.5,6,6.5,NA,6
56,SBC0,Emini,396,3.7,3.5,3,3.2,3.5,3.3
162,SBC0,Echlo,168.8,2.9,4,5.5,5,3,4.4
106,SBC0,Bobov,208.3,3.2,5.5,5.5,4.5,5.5,5.3
92,SBC0,Etetr,153.5,1.7,1.5,2,1.5,1,1.5
138,SBC0,Echlo,356.6,4.5,5,4.5,6.5,2.8,4.7
165,SBC0,Tferd,343.4,3.6,4,7,4.8,6.2,5.5
1157,P0,Cneso,377.7,3.3,4,4.5,4.5,5.5,4.6
1086,P0,Gheli,163,1.9,3.5,3.5,3,3,3.3
1171,P0,Echlo,115,2,4,5,4,3.5,4.1
1147,P0,Echlo,132.5,3.1,4,6.5,4.5,5,5
1095,P0,Echlo,378.5,4.4,5,8,6,7,6.5
1130,P0,Cneso,176.5,1.1,1,1.1,NA,NA,1.1
1173,P0,Echlo,97.5,2,3,4,3,2.5,3.1
415,P0,Bmega,99.5,1.7,2.5,3,3,2.5,2.8
1170,P0,Pcare,124.5,2.6,4.5,4.5,4,4,4.3
1192,P0,Emini,133.5,1,1.5,1.5,1,NA,1.3
1018,P0,Pcare,123.5,1.8,2.5,4,3,3.5,3.3
1020,P0,Cneso,153.5,1,1,1,NA,NA,1
1141,P0,Gheli,463.4,3.9,4.5,4.5,4,4.5,4.4
1108,P0,Etetr,152,1.9,2.5,2,1.5,2.5,2.1
1013,P0,Gheli,236.5,2.1,3.5,4,3,4,3.6
1117,P0,Cneso,187,1.7,4.5,3.5,4,3.5,3.9
428,P0,Tferd,306.5,3,4,3,3.5,4,3.6
1033,P0,Etetr,470.5,3.3,4,4,3,4,3.8
1038,P0,Emini,206.7,1.7,3.5,4,4,5,4.1
1183,P0,Aexce,234,1.9,2.5,2,2.5,2,2.3
416,P0,Aexce,215.4,3,1.8,2,1.5,22,6.8
1140,P0,Cneso,135,0.7,1,0.8,NA,NA,0.9
465,P0,Etetr,168,1,1,1,1.5,NA,1.2
1031,P0,Gheli,461.4,4.5,7,6,6.5,6.5,6.5
1077,P0,Aexce,393,4.5,11,12,11.5,10,11.1
1028,P0,Aexce,375.7,4.2,9,5,6.5,10,7.6
1023,P0,Bmega,156.9,2.8,3.5,4,4.5,3,3.8
1174,P0,Gheli,101,1,1,1.5,NA,NA,1.3
1024,P0,Cneso,378,2.4,5.5,5.5,6,5,5.5
1155,P0,Etetr,207.5,1.3,1.5,1.5,2,2,1.8
1098,P0,Cneso,263,2,3,3.5,3,3.5,3.3
1112,P0,Gheli,127.5,1.7,3,3,2.5,3.5,3
93,P0,Emini,145,1,1.2,1,1,1.5,1.2
1014,P0,Emini,345.1,2.5,3.5,4,3.5,4,3.8
1055,P0,Emini,501,3.5,3.5,3.5,3,4,3.5
1050,P0,Etetr,148.6,4.6,5,6,4.5,5.5,5.3
1197,P0,Gheli,146,1.8,3,3,3,NA,3
1129,P0,Etetr,123,1,1,1,NA,NA,1
1190,P0,Gheli,354,3.8,6,5,5,6,5.5
1030,P0,Aexce,189.1,2.1,2,2,2.5,3,2.4
1107,P0,Gheli,414.2,4.7,7,6.5,7,6,6.6
1054,P0,Pcare,108.5,1.9,3,3,3,3,3
1010,P0,Cneso,148,1.1,2,1,1.5,NA,1.5
475,P0,Etetr,415.7,3.8,6,6,7,7,6.5
423,P0,Emini,157.9,1,1.5,1.5,NA,NA,1.5
1012,P0,Pcare,213,3.6,5.5,5,6,6.5,5.8
1043,P0,Pcare,95.5,1.4,3.5,3,3,3,3.1
1056,P0,Aexce,395.5,4.8,14.5,13.5,4,7.5,9.9
482,P0,Bmega,82.5,1.6,3,3.5,3.5,3,3.3
121,P0,Bmega,63.5,1.4,3,2,3,2.5,2.6
490,P0,Aexce,344,2.5,4,4,4,5,4.3
